machine.authenticate_device (size=8.0): 0.019858344981912524
machine2.authenticate_device (size=8.0): 0.020329471008153632
handshake (size=8.0): 0.056641128001501784
send (size=8.0): 0.004672045004554093
send (size=8.0): 9.927898645401001e-05
machine.authenticate_device denial (size=9.0): 0.02087880700128153
machine.authenticate_device denial (size=9.0): 0.0004344200133346021
machine.authenticate_device denial (size=9.0): 0.023713729984592646
machine.authenticate_device denial (size=9.0): 0.0005044220015406609
machine.authenticate_device denial (size=9.0): 0.021313086996087804
machine.authenticate_device denial (size=9.0): 0.00038751200190745294
machine.authenticate_device denial (size=9.0): 0.018698324012802914
machine.authenticate_device denial (size=9.0): 0.0005608629726339132
machine.authenticate_device denial (size=9.0): 0.020677726017311215
machine.authenticate_device denial (size=9.0): 0.000718913011951372
machine.authenticate_device denial (size=9.0): 0.019199936999939382
machine.authenticate_device denial (size=9.0): 0.00036466799792833626
machine.authenticate_device denial (size=9.0): 0.01992054801667109
machine.authenticate_device denial (size=9.0): 0.0004091269802302122
machine.authenticate_device denial (size=9.0): 0.018661237991182134
machine.authenticate_device denial (size=9.0): 0.0003240160003770143
machine.authenticate_device denial (size=9.0): 0.018453112978022546
machine.authenticate_device denial (size=9.0): 0.0006160639750305563
machine.authenticate_device denial (size=9.0): 0.01952028600499034
machine.authenticate_device denial (size=9.0): 0.0006085489876568317
machine.authenticate_device denial (size=9.0): 0.018998554995050654
machine.authenticate_device denial (size=9.0): 0.00046174100134521723
machine.authenticate_device denial (size=9.0): 0.01878843200393021
machine.authenticate_device denial (size=9.0): 0.000371373986126855
machine.authenticate_device denial (size=9.0): 0.01870072100427933
machine.authenticate_device denial (size=9.0): 0.0005232789844740182
machine.authenticate_device denial (size=9.0): 0.018685123010072857
machine.authenticate_device denial (size=9.0): 0.00046258000656962395
machine.authenticate_device denial (size=9.0): 0.023359213024377823
machine.authenticate_device denial (size=9.0): 0.00047023501247167587
machine.authenticate_device denial (size=9.0): 0.018950669007608667
machine.authenticate_device denial (size=9.0): 0.0003857139963656664
machine.authenticate_device denial (size=9.0): 0.019911195005988702
machine.authenticate_device denial (size=9.0): 0.0004750720108859241
machine.authenticate_device denial (size=9.0): 0.019445967016508803
machine.authenticate_device denial (size=9.0): 0.0006248279823921621
machine.authenticate_device denial (size=9.0): 0.01874364199466072
machine.authenticate_device denial (size=9.0): 0.00044160400284454226
machine.authenticate_device denial (size=9.0): 0.018656161992112175
machine.authenticate_device denial (size=9.0): 0.00040161199285648763
machine.authenticate_device denial (size=9.0): 0.018694096012040973
machine.authenticate_device denial (size=9.0): 0.0005114370142109692
machine.authenticate_device denial (size=9.0): 0.019695494003826752
machine.authenticate_device denial (size=9.0): 0.0003984349896200001
machine.authenticate_device denial (size=9.0): 0.019511534977937117
machine.authenticate_device denial (size=9.0): 0.0005247480003163218
machine.authenticate_device denial (size=9.0): 0.01909720999537967
machine.authenticate_device denial (size=9.0): 0.00041699400753714144
machine.authenticate_device denial (size=9.0): 0.018999565014382824
machine.authenticate_device denial (size=9.0): 0.00040989098488353193
machine.authenticate_device denial (size=10.0): 0.01831089099869132
machine.authenticate_device denial (size=10.0): 0.00037042400799691677
machine.authenticate_device denial (size=10.0): 0.018671326019102708
machine.authenticate_device denial (size=10.0): 0.0004723750171251595
machine.authenticate_device denial (size=10.0): 0.022617213980993256
machine.authenticate_device denial (size=10.0): 0.00041661399882286787
machine.authenticate_device denial (size=10.0): 0.020060659007867798
machine.authenticate_device denial (size=10.0): 0.00041556498035788536
machine.authenticate_device denial (size=10.0): 0.019551564007997513
machine.authenticate_device denial (size=10.0): 0.0003894130059052259
machine.authenticate_device denial (size=10.0): 0.018639988003997132
machine.authenticate_device denial (size=10.0): 0.0004113700124435127
machine.authenticate_device denial (size=10.0): 0.01858427800470963
machine.authenticate_device denial (size=10.0): 0.0004474210145417601
machine.authenticate_device denial (size=10.0): 0.01937878897297196
machine.authenticate_device denial (size=10.0): 0.0003825209860224277
machine.authenticate_device denial (size=10.0): 0.019115420000161976
machine.authenticate_device denial (size=10.0): 0.000357137992978096
machine.authenticate_device denial (size=10.0): 0.018916872999398038
